team_id,canonical_name,fifa_code,elo_code,confederation,is_world_cup_2026,active_from,active_to
donetsk-pr,Donetsk PR,,,UNSPECIFIED,false,2015-05-14,
east-turkestan,East Turkestan,,,UNSPECIFIED,false,2019-10-19,
el-salvador,El Salvador,,,UNSPECIFIED,false,1921-09-14,
elba-island,Elba Island,,,UNSPECIFIED,false,2022-04-22,
ellan-vannin,Ellan Vannin,,,UNSPECIFIED,false,2014-04-06,
equatorial-guinea,Equatorial Guinea,,,UNSPECIFIED,false,1975-05-23,
eritrea,Eritrea,,,UNSPECIFIED,false,1992-06-26,
estonia,Estonia,,,UNSPECIFIED,false,1920-10-17,
eswatini,Eswatini,,,UNSPECIFIED,false,1968-05-01,
ethiopia,Ethiopia,,,UNSPECIFIED,false,1947-12-05,
falkland-islands,Falkland Islands,,,UNSPECIFIED,false,2001-07-08,
faroe-islands,Faroe Islands,,,UNSPECIFIED,false,1972-07-12,
felvidek,Felvidék,,,UNSPECIFIED,false,2015-05-30,
fiji,Fiji,,,UNSPECIFIED,false,1951-10-07,
finland,Finland,,,UNSPECIFIED,false,1911-10-22,
franconia,Franconia,,,UNSPECIFIED,false,2014-05-29,
french-guiana,French Guiana,,,UNSPECIFIED,false,1936-01-01,
frya,Frøya,,,UNSPECIFIED,false,1997-06-29,
gabon,Gabon,,,UNSPECIFIED,false,1960-04-14,
gagauzia,Găgăuzia,,,UNSPECIFIED,false,2006-11-19,
galicia,Galicia,,,UNSPECIFIED,false,1922-11-19,
gambia,Gambia,,,UNSPECIFIED,false,1953-02-09,
georgia,Georgia,,,UNSPECIFIED,false,1979-07-22,
german-dr,German DR,,,UNSPECIFIED,false,1952-05-18,
gibraltar,Gibraltar,,,UNSPECIFIED,false,1993-07-04,
gotland,Gotland,,,UNSPECIFIED,false,1999-06-27,
gozo,Gozo,,,UNSPECIFIED,false,2009-06-22,
greece,Greece,,,UNSPECIFIED,false,1919-06-25,
greenland,Greenland,,,UNSPECIFIED,false,1980-07-02,
grenada,Grenada,,,UNSPECIFIED,false,1938-08-17,
guadeloupe,Guadeloupe,,,UNSPECIFIED,false,1934-03-13,
guam,Guam,,,UNSPECIFIED,false,1975-08-02,
guatemala,Guatemala,,,UNSPECIFIED,false,1921-09-18,
guernsey,Guernsey,,,UNSPECIFIED,false,1905-04-17,
guinea,Guinea,,,UNSPECIFIED,false,1962-05-09,
guinea-bissau,Guinea-Bissau,,,UNSPECIFIED,false,1953-06-02,
guyana,Guyana,,,UNSPECIFIED,false,1905-07-21,
hitra,Hitra,,,UNSPECIFIED,false,1997-06-29,
hmong,Hmong,,,UNSPECIFIED,false,2023-08-04,
honduras,Honduras,,,UNSPECIFIED,false,1927-11-07,
hong-kong,Hong Kong,,,UNSPECIFIED,false,1953-04-05,
hungary,Hungary,,,UNSPECIFIED,false,1902-10-12,
iceland,Iceland,,,UNSPECIFIED,false,1946-07-17,
india,India,,,UNSPECIFIED,false,1938-09-03,
indonesia,Indonesia,,,UNSPECIFIED,false,1934-05-13,
iraqi-kurdistan,Iraqi Kurdistan,,,UNSPECIFIED,false,2008-07-07,
isle-of-man,Isle of Man,,,UNSPECIFIED,false,1993-07-04,
isle-of-wight,Isle of Wight,,,UNSPECIFIED,false,1991-06-24,
israel,Israel,,,UNSPECIFIED,false,1934-03-16,
italy,Italy,,,UNSPECIFIED,false,1910-05-15,
jamaica,Jamaica,,,UNSPECIFIED,false,1925-03-22,
jersey,Jersey,,,UNSPECIFIED,false,1905-04-27,
kabylia,Kabylia,,,UNSPECIFIED,false,2018-05-31,
karpatalja,Kárpátalja,,,UNSPECIFIED,false,2016-08-01,
kazakhstan,Kazakhstan,,,UNSPECIFIED,false,1979-08-04,
kenya,Kenya,,,UNSPECIFIED,false,1926-05-01,
kernow,Kernow,,,UNSPECIFIED,false,1953-09-26,
kiribati,Kiribati,,,UNSPECIFIED,false,1979-08-30,
kosovo,Kosovo,,,UNSPECIFIED,false,2006-04-22,
kurdistan,Kurdistan,,,UNSPECIFIED,false,2012-05-15,
kuwait,Kuwait,,,UNSPECIFIED,false,1963-01-06,
kyrgyzstan,Kyrgyzstan,,,UNSPECIFIED,false,1956-08-03,
laos,Laos,,,UNSPECIFIED,false,1961-12-12,
latvia,Latvia,,,UNSPECIFIED,false,1922-09-24,
lebanon,Lebanon,,,UNSPECIFIED,false,1940-04-27,
lesotho,Lesotho,,,UNSPECIFIED,false,1970-08-08,
liberia,Liberia,,,UNSPECIFIED,false,1961-12-25,
libya,Libya,,,UNSPECIFIED,false,1957-06-02,
liechtenstein,Liechtenstein,,,UNSPECIFIED,false,1981-06-14,
lithuania,Lithuania,,,UNSPECIFIED,false,1923-06-24,
luhansk-pr,Luhansk PR,,,UNSPECIFIED,false,2015-05-05,
luxembourg,Luxembourg,,,UNSPECIFIED,false,1911-10-29,
macau,Macau,,,UNSPECIFIED,false,1949-01-25,
madagascar,Madagascar,,,UNSPECIFIED,false,1947-02-15,
madrid,Madrid,,,UNSPECIFIED,false,2013-06-07,
malawi,Malawi,,,UNSPECIFIED,false,1957-08-28,
malaysia,Malaysia,,,UNSPECIFIED,false,1953-04-16,
maldives,Maldives,,,UNSPECIFIED,false,1979-08-27,
mali,Mali,,,UNSPECIFIED,false,1960-04-14,
malta,Malta,,,UNSPECIFIED,false,1957-02-24,
manchukuo,Manchukuo,,,UNSPECIFIED,false,1939-09-03,
mapuche,Mapuche,,,UNSPECIFIED,false,2022-06-17,
marshall-islands,Marshall Islands,,,UNSPECIFIED,false,2025-08-14,
martinique,Martinique,,,UNSPECIFIED,false,1931-02-11,
matabeleland,Matabeleland,,,UNSPECIFIED,false,2018-05-31,
maule-sur,Maule Sur,,,UNSPECIFIED,false,2022-06-17,
mauritania,Mauritania,,,UNSPECIFIED,false,1961-12-25,
mauritius,Mauritius,,,UNSPECIFIED,false,1947-02-15,
mayotte,Mayotte,,,UNSPECIFIED,false,2001-11-20,
menorca,Menorca,,,UNSPECIFIED,false,2007-06-30,
micronesia,Micronesia,,,UNSPECIFIED,false,1999-06-05,
moldova,Moldova,,,UNSPECIFIED,false,1956-08-12,
monaco,Monaco,,,UNSPECIFIED,false,2000-06-11,
mongolia,Mongolia,,,UNSPECIFIED,false,1942-08-10,
montenegro,Montenegro,,,UNSPECIFIED,false,1946-08-22,
montserrat,Montserrat,,,UNSPECIFIED,false,1991-05-10,
mozambique,Mozambique,,,UNSPECIFIED,false,1975-06-25,
myanmar,Myanmar,,,UNSPECIFIED,false,1951-03-05,
namibia,Namibia,,,UNSPECIFIED,false,1989-05-16,
nepal,Nepal,,,UNSPECIFIED,false,1972-10-13,
new-caledonia,New Caledonia,,,UNSPECIFIED,false,1951-09-19,
nicaragua,Nicaragua,,,UNSPECIFIED,false,1929-05-01,
niger,Niger,,,UNSPECIFIED,false,1961-12-25,
nigeria,Nigeria,,,UNSPECIFIED,false,1949-10-08,
niue,Niue,,,UNSPECIFIED,false,1983-08-20,
north-korea,North Korea,,,UNSPECIFIED,false,1956-10-07,
north-macedonia,North Macedonia,,,UNSPECIFIED,false,1993-10-13,
north-vietnam,North Vietnam,,,UNSPECIFIED,false,1956-10-04,
northern-cyprus,Northern Cyprus,,,UNSPECIFIED,false,1977-01-05,
northern-ireland,Northern Ireland,,,UNSPECIFIED,false,1882-02-18,
northern-mariana-islands,Northern Mariana Islands,,,UNSPECIFIED,false,1998-07-30,
occitania,Occitania,,,UNSPECIFIED,false,2005-02-12,
oman,Oman,,,UNSPECIFIED,false,1966-04-03,
orkney,Orkney,,,UNSPECIFIED,false,2001-07-08,
padania,Padania,,,UNSPECIFIED,false,2008-07-08,
pakistan,Pakistan,,,UNSPECIFIED,false,1952-03-18,
palau,Palau,,,UNSPECIFIED,false,1987-03-06,
palestine,Palestine,,,UNSPECIFIED,false,1966-04-01,
panjab,Panjab,,,UNSPECIFIED,false,2015-05-30,
papua-new-guinea,Papua New Guinea,,,UNSPECIFIED,false,1963-08-29,
parishes-of-jersey,Parishes of Jersey,,,UNSPECIFIED,false,2018-10-21,
peru,Peru,,,UNSPECIFIED,false,1927-11-01,
philippines,Philippines,,,UNSPECIFIED,false,1913-02-04,
poland,Poland,,,UNSPECIFIED,false,1921-12-18,
provence,Provence,,,UNSPECIFIED,false,1921-04-03,
puerto-rico,Puerto Rico,,,UNSPECIFIED,false,1940-11-12,
quebec,Quebec,,,UNSPECIFIED,false,2013-06-23,
raetia,Raetia,,,UNSPECIFIED,false,2011-12-04,
republic-of-ireland,Republic of Ireland,,,UNSPECIFIED,false,1924-05-28,
republic-of-st-pauli,Republic of St. Pauli,,,UNSPECIFIED,false,2006-05-29,
reunion,Réunion,,,UNSPECIFIED,false,1947-05-15,
rhodes,Rhodes,,,UNSPECIFIED,false,1999-06-27,
romani-people,Romani people,,,UNSPECIFIED,false,2007-06-07,
romania,Romania,,,UNSPECIFIED,false,1919-06-24,
russia,Russia,,,UNSPECIFIED,false,1910-10-16,
rwanda,Rwanda,,,UNSPECIFIED,false,1976-07-03,
ryukyu,Ryūkyū,,,UNSPECIFIED,false,2016-11-26,
saare-county,Saare County,,,UNSPECIFIED,false,1999-06-27,
saarland,Saarland,,,UNSPECIFIED,false,1953-06-24,
saint-barthelemy,Saint Barthélemy,,,UNSPECIFIED,false,2010-07-03,
saint-helena,Saint Helena,,,UNSPECIFIED,false,2019-06-12,
saint-kitts-and-nevis,Saint Kitts and Nevis,,,UNSPECIFIED,false,1938-08-17,
saint-lucia,Saint Lucia,,,UNSPECIFIED,false,1938-01-09,
saint-martin,Saint Martin,,,UNSPECIFIED,false,1990-03-24,
saint-pierre-and-miquelon,Saint Pierre and Miquelon,,,UNSPECIFIED,false,2010-09-22,
saint-vincent-and-the-grenadines,Saint Vincent and the Grenadines,,,UNSPECIFIED,false,1961-01-16,
samoa,Samoa,,,UNSPECIFIED,false,1979-08-31,
san-marino,San Marino,,,UNSPECIFIED,false,1990-11-14,
sao-tome-and-principe,São Tomé and Príncipe,,,UNSPECIFIED,false,1976-05-02,
sapmi,Sápmi,,,UNSPECIFIED,false,2006-11-20,
sark,Sark,,,UNSPECIFIED,false,2003-06-29,
saugeais,Saugeais,,,UNSPECIFIED,false,2013-06-29,
sealand,Sealand,,,UNSPECIFIED,false,2004-05-15,
seborga,Seborga,,,UNSPECIFIED,false,2014-08-10,
serbia,Serbia,,,UNSPECIFIED,false,1950-02-26,
seychelles,Seychelles,,,UNSPECIFIED,false,1974-03-13,
shetland,Shetland,,,UNSPECIFIED,false,1989-07-06,
sierra-leone,Sierra Leone,,,UNSPECIFIED,false,1949-10-08,
silesia,Silesia,,,UNSPECIFIED,false,1933-10-04,
singapore,Singapore,,,UNSPECIFIED,false,1953-04-11,
sint-maarten,Sint Maarten,,,UNSPECIFIED,false,1989-05-07,
slovakia,Slovakia,,,UNSPECIFIED,false,1939-08-27,
slovenia,Slovenia,,,UNSPECIFIED,false,1991-06-19,
solomon-islands,Solomon Islands,,,UNSPECIFIED,false,1963-08-30,
somalia,Somalia,,,UNSPECIFIED,false,1963-11-11,
somaliland,Somaliland,,,UNSPECIFIED,false,2014-05-17,
south-ossetia,South Ossetia,,,UNSPECIFIED,false,2013-09-23,
south-sudan,South Sudan,,,UNSPECIFIED,false,2012-07-10,
south-yemen,South Yemen,,,UNSPECIFIED,false,1982-11-21,
sri-lanka,Sri Lanka,,,UNSPECIFIED,false,1952-03-24,
sudan,Sudan,,,UNSPECIFIED,false,1956-11-16,
suriname,Suriname,,,UNSPECIFIED,false,1921-01-28,
surrey,Surrey,,,UNSPECIFIED,false,2018-05-06,
syria,Syria,,,UNSPECIFIED,false,1949-11-20,
szekely-land,Székely Land,,,UNSPECIFIED,false,2014-11-08,
tahiti,Tahiti,,,UNSPECIFIED,false,1952-09-21,
taiwan,Taiwan,,,UNSPECIFIED,false,1950-04-16,
tajikistan,Tajikistan,,,UNSPECIFIED,false,1992-06-17,
tamil-eelam,Tamil Eelam,,,UNSPECIFIED,false,2012-06-05,
tanzania,Tanzania,,,UNSPECIFIED,false,1945-03-28,
thailand,Thailand,,,UNSPECIFIED,false,1954-11-01,
tibet,Tibet,,,UNSPECIFIED,false,2001-06-30,
ticino,Ticino,,,UNSPECIFIED,false,2023-06-17,
timor-leste,Timor-Leste,,,UNSPECIFIED,false,2003-03-21,
togo,Togo,,,UNSPECIFIED,false,1956-10-06,
tonga,Tonga,,,UNSPECIFIED,false,1979-08-29,
trinidad-and-tobago,Trinidad and Tobago,,,UNSPECIFIED,false,1905-07-21,
turkmenistan,Turkmenistan,,,UNSPECIFIED,false,1992-06-01,
turks-and-caicos-islands,Turks and Caicos Islands,,,UNSPECIFIED,false,1999-02-24,
tuvalu,Tuvalu,,,UNSPECIFIED,false,1979-08-30,
two-sicilies,Two Sicilies,,,UNSPECIFIED,false,2010-05-31,
uganda,Uganda,,,UNSPECIFIED,false,1926-05-01,
ukraine,Ukraine,,,UNSPECIFIED,false,1928-08-19,
united-arab-emirates,United Arab Emirates,,,UNSPECIFIED,false,1972-03-17,
united-koreans-in-japan,United Koreans in Japan,,,UNSPECIFIED,false,2016-05-30,
united-states-virgin-islands,United States Virgin Islands,,,UNSPECIFIED,false,1998-03-22,
vanuatu,Vanuatu,,,UNSPECIFIED,false,1951-10-04,
vatican-city,Vatican City,,,UNSPECIFIED,false,2002-11-23,
venezuela,Venezuela,,,UNSPECIFIED,false,1938-02-12,
vietnam,Vietnam,,,UNSPECIFIED,false,1949-01-16,
vietnam-republic,Vietnam Republic,,,UNSPECIFIED,false,1956-05-03,
wales,Wales,,,UNSPECIFIED,false,1876-03-25,
wallis-islands-and-futuna,Wallis Islands and Futuna,,,UNSPECIFIED,false,1966-12-11,
west-papua,West Papua,,,UNSPECIFIED,false,2019-10-19,
western-armenia,Western Armenia,,,UNSPECIFIED,false,2016-05-30,
western-australia,Western Australia,,,UNSPECIFIED,false,1967-08-10,
western-isles,Western Isles,,,UNSPECIFIED,false,2005-07-11,
western-sahara,Western Sahara,,,UNSPECIFIED,false,2001-02-27,
yemen,Yemen,,,UNSPECIFIED,false,1966-04-02,
yemen-dpr,Yemen DPR,,,UNSPECIFIED,false,1972-01-01,
ynys-mon,Ynys Môn,,,UNSPECIFIED,false,1989-07-06,
yorkshire,Yorkshire,,,UNSPECIFIED,false,2018-01-28,
yoruba-nation,Yoruba Nation,,,UNSPECIFIED,false,2022-05-21,
yugoslavia,Yugoslavia,,,UNSPECIFIED,false,1920-08-28,
zambia,Zambia,,,UNSPECIFIED,false,1946-06-16,
zanzibar,Zanzibar,,,UNSPECIFIED,false,1947-09-18,
zimbabwe,Zimbabwe,,,UNSPECIFIED,false,1946-06-16,
